showid,title,type,releaseyear,endyear,duration,genres,cast,imdbrating,numvotes,popularityrank,isadult,url
tt0253474,The Pianist,Movie,2002,2002,150 min,"Biography,Drama,Music","Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox, Michal Zebrowski",8.5,1008906,92,0,https://www.imdb.com/title/tt0253474/
tt3659388,The Martian,Movie,2015,2015,144 min,"Adventure,Drama,Sci-Fi","Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara, Jeff Daniels",8.0,1006563,93,0,https://www.imdb.com/title/tt3659388/
tt0088247,The Terminator,Movie,1984,1984,107 min,"Action,Adventure,Sci-Fi","Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield, Lance Henriksen",8.1,1001196,94,0,https://www.imdb.com/title/tt0088247/
tt2395427,Avengers: Age of Ultron,Movie,2015,2015,141 min,"Action,Adventure,Sci-Fi","Robert Downey Jr., Robert Downey Jr., Chris Evans, Chris Evans, Mark Ruffalo",7.3,997059,95,0,https://www.imdb.com/title/tt2395427/
tt0050083,12 Angry Men,Movie,1957,1957,96 min,"Crime,Drama","Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler, E.G. Marshall",9.0,980205,96,0,https://www.imdb.com/title/tt0050083/
tt0208092,Snatch,Movie,2000,2000,102 min,"Comedy,Crime","Jason Statham, Brad Pitt, Stephen Graham, Vinnie Jones, Ade",8.2,974670,97,0,https://www.imdb.com/title/tt0208092/
tt0180093,Requiem for a Dream,Movie,2000,2000,102 min,Drama,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans, Christopher McDonald",8.3,970706,98,0,https://www.imdb.com/title/tt0180093/
tt1843866,Captain America: The Winter Soldier,Movie,2014,2014,136 min,"Action,Adventure,Sci-Fi","Chris Evans, Chris Evans, Samuel L. Jackson, Scarlett Johansson, Scarlett Johansson",7.7,968574,99,0,https://www.imdb.com/title/tt1843866/
tt2278388,The Grand Budapest Hotel,Movie,2014,2014,99 min,"Comedy,Drama","Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody, Willem Dafoe",8.1,966923,100,0,https://www.imdb.com/title/tt2278388/
tt0435761,Toy Story 3,Movie,2010,2010,103 min,"Adventure,Animation,Comedy","Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles",8.3,966637,101,0,https://www.imdb.com/title/tt0435761/
tt0145487,Spider-Man,Movie,2002,2002,121 min,"Action,Adventure,Sci-Fi","Tobey Maguire, Tobey Maguire, Kirsten Dunst, Willem Dafoe, Willem Dafoe",7.4,964513,102,0,https://www.imdb.com/title/tt0145487/
